ristorante,nome_ricetta,ingredienti
Anima Cosmica,Nebulosa Celestiale alla Stellaris,"Shard di Materia Oscura, Carne di Balena spaziale, Carne di Mucca, Teste di Idra, Riso di Cassandra, Biscotti della Galassia, Pane di Luce, Funghi dell’Etere, Spezie Melange"
Anima Cosmica,Sinfonia Cosmica ma Fatta Male,"Granuli di Nebbia Arcobaleno, Funghi dell’Etere, Radici di Singolarità, Lattuga Namecciana, Polvere di Pulsar"
Anima Cosmica,Astro-Risotto alle Onde Temporali,"Polvere di Pulsar, Foglie di Nebulosa, Radici di Singolarità, Baccacedro, Sale Temporale"
Anima Cosmica,Sinfonia Galattica alla Griglia Cangiante,"Shard di Materia Oscura, Teste di Idra, Amido di Stellarion, Fusilli del Vento, Spore Quantiche, Erba Pipa"
Anima Cosmica,Galassie Infiammate: Sinfonia Cosmica in Sei Dimensioni,"Frammenti di Supernova, Uova di Fenice, Carne di Mucca, Riso di Cassandra, Spaghi del Sole, Biscotti della Galassia, Lacrime di Unicorno, Nduja Fritta Tanto"
Anima Cosmica,Galassie Sospese: Un Viaggio di Sapori Cosmogalattici,"Cristalli di Memoria, Radici di Gravità, Pane degli Abissi, Biscotti della Galassia, Lacrime di Unicorno, Nduja Fritta Tanto"
Anima Cosmica,Pioggia di Andromeda,"Cristalli di Memoria, Radici di Gravità, Pane degli Abissi, Biscotti della Galassia, Lacrime di Unicorno, Nduja Fritta Tanto"
Anima Cosmica,Sinfonia Cosmica ma Fatta Bene,"Shard di Materia Oscura, Colonia di Mycoflora, Carne di Balena spaziale, Amido di Stellarion, Nettare di Sirena, Petali di Eco"
Anima Cosmica,Odissea Cosmica di Nettuno,"Pane di Luce, Farina di Nettuno, Amido di Stellarion, Nettare di Sirena, Essenza di Vuoto"
Anima Cosmica,Galassia Commovente di Stellari,"Polvere di Stelle, Alghe Bioluminescenti, Baccacedro, Carne di Balena spaziale, Teste di Idra, Fibra di Sintetex, Funghi Orbitali, Essenza di Tachioni"
Armonia Universale,Sinfonia Cosmica: Versione Pizza,"Polvere di Pulsar, Radici di Gravità, Radici di Singolarità, Spaghi del Sole, Riso di Cassandra, Farina di Nettuno, Funghi Orbitali, Spezie Melange, Cioccorane"
Armonia Universale,Galassia di Sapore Interstellare,"Frammenti di Supernova, Colonia di Mycoflora, Foglie di Nebulosa, Carne di Mucca, Fibra di Sintetex, Carne di Kraken, Spaghi del Sole, Nettare di Sirena, Spezie Melange, Burrobirra"
Armonia Universale,Sinfonia Cosmica di Sapore,"Shard di Materia Oscura, Carne di Xenodonte, Fibra di Sintetex, Farina di Nettuno, Granuli di Nebbia Arcobaleno, Nduja Fritta, Tanto Ravioli al Vaporeon"
Armonia Universale,Sinfonia Cosmica di Luminiscenze e Contrasti,"Uova di Fenice, Carne di Drago, Carne di Kraken, Amido di Stellarion, Riso di Cassandra, Spezie Melange, Slurm"
Armonia Universale,Sinfonia Cosmica in Otto Movimenti,"Frammenti di Supernova, Foglie di Nebulosa, Alghe Bioluminescenti, Fibra di Sintetex, Carne di Mucca, Gnocchi del Crepuscolo, Lacrime di Andromeda, Spezie Melange"
Armonia Universale,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,"Shard di Materia Oscura, Uova di Fenice, Gnocchi del Crepuscolo, Plasma Vitale, Essenza di Tachioni"
Armonia Universale,Sinfonia Cosmica: Versione Data,"Polvere di Stelle, Radici di Gravità, Colonia di Mycoflora, Fusilli del Vento, Pane degli Abissi, Essenza di Tachioni"
Armonia Universale,Sinfonia Cosmologica,"Shard di Materia Oscura, Radici di Gravità, Foglie di Nebulosa, Biscotti della Galassia, Essenza di Vuoto"
Armonia Universale,Sinfonia Cosmica di Armonie Terrestri e Celesti,"Cristalli di Memoria, Uova di Fenice, Carne di Kraken, Fibra di Sintetex, Granuli di Nebbia Arcobaleno, Lacrime di Andromeda, Spezie Melange"
Armonia Universale,Cosmo Sferico di Sogni Rigenerativi,"Radici di Gravità, Baccacedro, Lattuga Namecciana, Teste di Idra, Carne di Xenodonte, Farina di Nettuno, Nettare di Sirena"
Cosmica Essenza,Galassie in Epifania: Risotto Celestiale con Preziosi dell'Universo,"Polvere di Pulsar, Carne di Xenodonte, Carne di Balena spaziale, Teste di Idra, Spaghi del Sole, Riso di Cassandra, Farina di Nettuno, Lacrime di Andromeda, Petali di Eco"
Cosmica Essenza,Galassia Suprema,"Shard di Prisma Stellare, Foglie di Nebulosa, Carne di Drago, Carne di Mucca, Fibra di Sintetex, Lacrime di Unicorno, Essenza di Tachioni"
Cosmica Essenza,Fusione Celeste,"Radici di Singolarità, Foglie di Nebulosa, Colonia di Mycoflora, Carne di Mucca, Carne di Kraken, Riso di Cassandra, Fusilli del Vento, Biscotti della Galassia, Spore Quantiche, Essenza di Speziaria"
Cosmica Essenza,Sinfonia Cosmica di Andromeda,"Foglie di Mandragora, Radici di Singolarità, Riso di Cassandra, Lacrime di Andromeda, Petali di Eco"
Cosmica Essenza,Risveglio Cosmico: Una Sinfonia di Sapori Universali,"Shard di Prisma Stellare, Lattuga Namecciana, Carne di Mucca, Fibra di Sintetex, Amido di Stellarion, Riso di Cassandra, Muffa Lunare, Erba Pipa"
Cosmica Essenza,Galassia Incantata: Un Viaggio Attraverso l'Infinito,"Shard di Materia Oscura, Carne di Xenodonte, Teste di Idra, Fibra di Sintetex, Riso di Cassandra, Pane di Luce, Pane degli Abissi, Nduja Fritta, Tanto"
Cosmica Essenza,Sinfonia Celestiale di Echi Galattici,"Baccacedro, Fibra di Sintetex, Carne di Balena spaziale, Carne di Kraken, Lacrime di Unicorno"
Cosmica Essenza,Porta Celestiale alle Stelle,"Vero Ghiaccio, Liane di Plasmodio, Carne di Kraken, Teste di Idra, Funghi dell’Etere, Erba Pipa"
Cosmica Essenza,Sinfonia Celeste dell'Equilibrio Temporale,"Polvere di Crononite, Carne di Balena spaziale, Carne di Mucca, Uova di Fenice, Funghi dell’Etere, Spezie Melange"
Cosmica Essenza,Il Risveglio delle Stelle,"Polvere di Stelle, Baccacedro, Carne di Balena spaziale, Biscotti della Galassia, Pane degli Abissi, Muffa Lunare"
Datapizza,Pizza Fra,"Risotto di Amido di Stellarion, Fibra di Sintetex, Vero Ghiaccio, Radici di Gravità, Baccacedro, Lacrime di Unicorno, Farina di Nettuno, Salsa Szechuan, Brodo di Vero Ghiaccio"
Datapizza,Pizza Gio,"Pane di Luce, Risotto con Cristalli di Memoria, Sferificazione Filamentare a Molecole Vibrazionali delle Lacrime di Andromeda, Radici di Gravità, Liane di Plasmodio, Idro-Cristallizzazione Sonora Quantistica, Marinatura Reazioni d'Antimateria Diluite"
Datapizza,Pizza Emma,"Liane di Plasmodio, Polvere di Stelle, Grigliatura Elettro-Molecolare a Spaziatura Variabile, Colonia di Mycoflora, Foglie di Mandragora, Idro-Cristallizzazione Sonora Quantistica, Essenza di Speziaria"
Datapizza,Pizza Luca,"Alghe Bioluminescenti, Gnocchi del Crepuscolo, Pane degli Abissi, Salsa Szechuan, Funghi Orbitali, Farina di Nettuno"
Datapizza,Pizza Raul,"Teste di Idra, Risotto di Riso di Cassandra, Radici di Gravità, Baccacedro, Farina di Nettuno, Spore Quantiche, Essenza di Vuoto, Affumicatura a Stratificazione Quantica"
Datapizza,Pizza Cri,"Fusilli del Vento, Granuli di Nebbia Arcobaleno, Funghi dell'Etere, Essenza di Speziaria, Cristalli di Memoria, Farina di Nettuno, Baccacedro, Radici di Gravità, Uova di Fenice"
Datapizza,Pizza Baby Daniele,"Spaghi del Sole, Carne di Balena Spaziale, Foglie di Nebulosa, Radici di Singolarità, Uova di Fenice, Biscotti della Galassia, Frammenti di Supernova, Fibra di Sintetex, Foglie di Nebulosa"
Datapizza,Pizza Baby Lorenzo,"Riso di Cassandra, Carne di Balena, Carne di Drago, Radici di Gravità, Sale Temporale, Uova di Fenice, Baccacedro, Pane di Luce, Frammenti di Supernova, Lacrime di Andromeda"
Datapizza,Pizza Baby Simone e Alessandro,"Fusilli del Vento, Spaghi del Sole, Nduja Fritta Tanto cristalizzata, Radici di Singolarità, Carne di Xenodonte, Pane di Luce, Lattuga Namecciana, Baccacedro, Polvere di Crononite, Bollitura Termografica a Rotazione Veloce, Foglie di Nebulosa, Uova di Fenice, Decostruzione Interdimensionale Lovecraftiana"
Eco di Pandora,Serenata del Multiverso,"Frammenti di Supernova, Liane di Plasmodio, Carne di Balena spaziale, Fibra di Sintetex, Nettare di Sirena, Essenza di Speziaria"
Eco di Pandora,Euforia Cosmica,"Vero Ghiaccio, Radici di Singolarità, Alghe Bioluminescenti, Carne di Drago, Uova di Fenice, Funghi dell’Etere, Essenza di Vuoto"
Eco di Pandora,Galassie Riflesse: Sinfonia del Multiverso,"Polvere di Pulsar, Radici di Singolarità, Liane di Plasmodio, Carne di Drago, Teste di Idra, Carne di Mucca, Pane di Luce, Gnocchi del Crepuscolo, Riso di Cassandra, Funghi dell’Etere, Sale Temporale"
Eco di Pandora,Sinfonia Cosmica di Terracotta,"Polvere di Crononite, Radici di Gravità, Foglie di Mandragora, Plasma Vitale, Sale Temporale"
